Name,EPPLER 1230 AIRFOIL
Chord(mm),1279
Radius(mm),0
Thickness(%),95
Origin(%),0
Pitch(deg),0
,
Airfoil surface,
X(mm),Y(mm)
1279.000000,0.121505
1277.081500,1.081395
1271.556220,2.029134
1262.910180,4.811598
1251.616610,8.687608
1238.033630,13.304797
1222.237980,18.262202
1204.063390,23.268207
1183.292430,28.322816
1159.937890,33.596132
1134.166040,39.136761
1106.130360,44.944699
1075.997120,51.019949
1043.945380,57.350360
1010.154200,63.887329
974.841010,70.618706
938.184870,77.495889
900.403210,84.445975
861.700670,91.420362
822.269100,98.346147
782.325930,105.162578
742.063010,111.784600
701.672190,118.127161
661.345320,124.105207
621.261460,129.657985
581.586880,134.688293
542.487850,139.111075
504.105060,142.865579
466.604780,145.866752
430.089330,148.065993
394.699400,149.378247
360.550100,149.754912
327.718170,149.135237
296.293140,147.482769
266.326170,144.724605
237.817260,140.836445
210.766410,135.842590
185.173620,129.803791
161.038890,122.780802
138.349430,114.870827
117.118030,106.243972
97.434220,97.046043
79.374740,87.374246
63.029120,77.350083
48.435730,67.082910
35.671310,56.682083
24.774230,46.256953
15.808440,35.941179
8.799520,25.868414
3.785840,16.172315
0.844140,7.059441
0.000000,0.000000
0.025580,-1.251502
1.611540,-8.201588
6.484530,-14.155333
14.759660,-19.938970
25.771850,-25.540351
39.354830,-30.837969
55.431860,-35.686019
74.041310,-40.023747
95.170390,-43.899757
118.742360,-47.362649
144.642110,-50.448876
172.728950,-53.194889
202.849400,-55.588537
234.837190,-57.654122
268.551630,-59.379493
303.800870,-60.752500
340.431430,-61.773142
378.251460,-62.441419
417.081900,-62.720881
456.743690,-62.611526
497.032190,-62.089055
537.755550,-61.129165
578.734710,-59.658955
619.803400,-57.581220
660.910460,-54.871658
701.966360,-51.505969
742.881570,-47.532756
783.566560,-42.976318
823.919010,-37.860958
863.926130,-32.174524
895.300000,-29.161200
920.880000,-26.731100
946.460000,-24.301000
982.272000,-21.870900
1015.526000,-19.440800
1051.338000,-17.010700
1087.150000,-14.580600
1125.520000,-12.150500
1148.542000,-9.720400
1186.912000,-7.290300
1217.608000,-4.860200
1253.420000,-2.430100
1279.000000,-0.121505
,
Camber line,
X(mm),Y(mm)
0.000000,0.000000
0.844140,1.110399
3.785840,2.657101
8.799520,5.047547
15.808440,7.734372
24.774230,10.612022
35.671310,13.640378
48.435730,16.753292
63.029120,19.946599
79.374740,23.186056
97.434220,26.406857
117.118030,29.559974
138.349430,32.585895
161.038890,35.364418
185.173620,37.809967
210.766410,39.871409
237.817260,41.514907
266.326170,42.729501
296.293140,43.511353
327.718170,43.858163
360.550100,43.813137
394.699400,43.409226
430.089330,42.690488
466.604780,41.691554
504.105060,40.471619
542.487850,39.075845
581.586880,37.586817
621.261460,36.086437
661.345320,34.634599
701.672190,33.298538
742.063010,32.086177
782.325930,31.023659
822.269100,30.138017
861.700670,29.464761
900.403210,27.884790
938.184870,26.204376
974.841010,24.121780
1010.154200,22.026987
1043.945380,19.919009
1075.997120,17.841273
1106.130360,15.783094
1134.166040,13.949449
1159.937890,12.298736
1183.292430,10.401638
1204.063390,8.667863
1222.237980,6.858089
1238.033630,4.915311
1251.616610,3.067567
1262.910180,1.618993
1271.556220,0.617914
1277.081500,0.393372
1279.000000,0.000000
,
Chord line,
X(mm),Y(mm)
0.000000,0.000000
1279.000000,0.000000
